Date,Open,High,Low,MA5,MA20,Bias%,10-Day RSI,Close
2003/12/26,1.245004,1.2471,1.242699,1.2426388,1.2279631,0.044679114,78.21307363,1.243194
2003/12/29,1.243394,1.250797,1.242993,1.2443384,1.2305577,0.325843838,79.06267725,1.248393
2003/12/30,1.248595,1.256297,1.248299,1.2473166,1.23285755,0.607496124,82.88661586,1.254894
2003/12/31,1.255004,1.264894,1.253007,1.2500572,1.23519275,0.715551256,80.70691232,1.259002
2004/1/1,1.259002,1.260796,1.247396,1.2527354,1.23769775,0.435734474,77.10407857,1.258194
2004/1/2,1.258194,1.262802,1.252693,1.2557354,1.2396727,0.195789654,88.58676488,1.258194
2004/1/5,1.263903,1.269406,1.263695,1.2597964,1.24200755,0.706590367,91.5879754,1.268698
2004/1/6,1.268907,1.280803,1.267202,1.2632382,1.24436295,0.701752053,92.31925328,1.272103
2004/1/7,1.272394,1.273999,1.262499,1.2642568,1.2466129,-0.012798033,73.1261381,1.264095
2004/1/8,1.264095,1.278707,1.256502,1.2681176,1.2493676,0.739710576,80.53039499,1.277498
2004/1/9,1.277498,1.286703,1.271294,1.2736572,1.2522673,0.960603842,85.38703796,1.285892
2004/1/12,1.284802,1.289707,1.273804,1.2747368,1.25437225,-0.050269201,69.20226515,1.274096
2004/1/13,1.274405,1.279705,1.271892,1.2760348,1.25669215,0.200480426,68.25162115,1.278593
2004/1/14,1.278805,1.278805,1.240602,1.2762362,1.25793715,-0.872424713,54.10464835,1.265102
2004/1/15,1.265599,1.267106,1.256897,1.272756,1.2588271,-0.994613264,51.21205559,1.260097
2004/1/16,1.260001,1.261002,1.2364,1.2635382,1.2588924,-1.878471106,40.69253115,1.239803
2004/1/19,1.238697,1.242406,1.234004,1.2558004,1.258668,-1.623936415,32.04155833,1.235407
2004/1/20,1.235102,1.260208,1.234995,1.2518632,1.2596132,0.562665314,44.14987942,1.258907
2004/1/21,1.258099,1.266994,1.256597,1.2520234,1.2606434,1.10857353,50.80878932,1.265903
2004/1/22,1.265807,1.274892,1.264494,1.2545056,1.26202865,1.435019501,47.62322099,1.272508
2004/1/23,1.272394,1.277596,1.257008,1.258206,1.2627842,0.007868346,37.54908244,1.258305
2004/1/26,1.257498,1.261098,1.246106,1.2608842,1.26280445,-0.958549564,38.34129076,1.248798
2004/1/27,1.248595,1.265999,1.244694,1.2618418,1.2632445,0.146864686,43.73475533,1.263695
2004/1/28,1.263408,1.264398,1.242005,1.257501,1.26250435,-1.05781228,41.63203869,1.244199
2004/1/29,1.244106,1.252693,1.237103,1.2512,1.2616448,-0.814977621,42.24388659,1.241003
2004/1/30,1.241003,1.248502,1.235498,1.2489,1.26107535,-0.167747618,53.22381628,1.246805
2004/2/2,1.247598,1.248206,1.239603,1.2478008,1.25980555,-0.360538317,53.66510376,1.243302
2004/2/3,1.253793,1.256108,1.2505,1.2457606,1.2588751,0.620777379,47.1328538,1.253494
2004/2/4,1.254595,1.256108,1.2505,1.2477202,1.2583702,0.503061504,43.22783946,1.253997
2004/2/5,1.253793,1.2636,1.252395,1.250959,1.25735515,0.49865743,40.94012947,1.257197
2004/2/6,1.257008,1.272605,1.251894,1.2555984,1.25656065,1.147150235,57.03782145,1.270002
2004/2/9,1.265502,1.275705,1.265502,1.2608192,1.25632615,0.681049273,63.88866424,1.269406
2004/2/10,1.269293,1.278707,1.267395,1.2638212,1.2558217,0.370527097,53.99451782,1.268504
2004/2/11,1.268295,1.284703,1.265807,1.2696228,1.25671685,1.054029591,85.15036232,1.283005
2004/2/12,1.283302,1.284703,1.279607,1.2745444,1.25780225,0.569662383,88.34486129,1.281805
2004/2/13,1.281706,1.288992,1.272508,1.2751038,1.25945205,-0.180753912,73.04105801,1.272799
2004/2/16,1.272993,1.279001,1.2722,1.2765232,1.26150685,-0.001582423,79.32484234,1.276503
2004/2/17,1.276406,1.287797,1.276308,1.279981,1.26285115,0.45406924,78.99007306,1.285793
2004/2/18,1.286306,1.292207,1.266592,1.2778816,1.2631814,-0.420508441,63.51384894,1.272508
2004/2/19,1.272896,1.276699,1.265999,1.2766616,1.26334125,-0.074929801,63.51225068,1.275705
2004/2/20,1.275803,1.276096,1.250297,1.2729422,1.2631361,-1.472195674,39.76471808,1.254202
2004/2/23,1.250094,1.259398,1.245702,1.269081,1.26355605,-0.93642565,42.32939196,1.257197
2004/2/24,1.257197,1.2711,1.252897,1.2654818,1.26376115,0.182950083,49.60405909,1.267797
2004/2/25,1.267893,1.270406,1.248393,1.2609208,1.26403635,-0.889651436,32.07140858,1.249703
2004/2/26,1.250094,1.251799,1.239695,1.2547404,1.26422635,-0.791988526,30.84266987,1.244803
2004/2/27,1.244803,1.250704,1.238099,1.2537814,1.26435645,-0.348896546,37.31068003,1.249407
2004/3/1,1.253903,1.254107,1.242993,1.2513026,1.2644315,-0.519426716,32.97017363,1.244803
2004/3/2,1.245004,1.245004,1.220301,1.2418242,1.26277705,-1.72481741,19.77814753,1.220405
2004/3/3,1.220197,1.222001,1.206899,1.2357028,1.261032,-1.343915382,22.24023949,1.219096
2004/3/4,1.219393,1.224095,1.2143,1.2308828,1.2592073,-0.827032436,20.93347708,1.220703
2004/3/5,1.220495,1.242699,1.217997,1.2283608,1.25754705,0.686785186,40.24438092,1.236797
2004/3/8,1.236507,1.242607,1.234598,1.2279216,1.2562071,1.195955833,42.07237557,1.242607
2004/3/9,1.242607,1.246401,1.228697,1.2302218,1.2543772,0.136902142,30.51964264,1.231906
2004/3/10,1.242607,1.246401,1.220703,1.231042,1.2513868,-0.637265016,33.98157997,1.223197
2004/3/11,1.223197,1.238007,1.217404,1.2339218,1.24905165,0.095646256,44.59500117,1.235102
2004/3/12,1.234995,1.235407,1.217893,1.2310432,1.2465319,-0.701778784,36.19972403,1.222404
2004/3/15,1.221404,1.231406,1.2213,1.2279628,1.244067,-0.061711967,41.02435939,1.227205
2004/3/16,1.226904,1.237195,1.224605,1.2268028,1.24108265,-0.056798044,53.81424538,1.226106
2004/3/17,1.226001,1.229196,1.218294,1.226704,1.2385924,-0.326158552,52.34748201,1.222703
2004/3/18,1.222703,1.241897,1.222599,1.2274628,1.23675195,0.931449817,59.95099165,1.238896
2004/3/19,1.238697,1.240695,1.226407,1.2283628,1.23538705,-0.118759702,44.33461992,1.226904
2004/3/22,1.227702,1.239603,1.222703,1.2298414,1.2342571,0.386765318,45.51039856,1.234598
